ENSG00000101928	ENST00000370783*ENST00000491609*ENST00000370779*ENST00000480721*ENST00000370777*ENST00000489890*ENST00000462060	ENSP00000359819**ENSP00000359815**ENSP00000359813**	motile sperm domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25235]	134887626	134915267	134887626*134888954*134889015*134889017*134889123*134896889*134899018	134915267*134915231*134915227*134899534*134899534*134915219*134915238	GO:0048471*GO:0000122*GO:0045944*GO:0005737*GO:0005634*GO:0016021*GO:0005737*GO:0005634*GO:0045944*GO:0048471*GO:0000122*GO:0048471*GO:0000122*GO:0045944*GO:0005737*GO:0005634*GO:0016021*GO:0048471*GO:0000122*GO:0045944*GO:0005737*GO:0005634*GO:0016021	perinuclear region of cytoplasm*negative regulation of transcription from RNA polymerase II promoter*positive regulation of transcription from RNA polymerase II promoter*cytoplasm*nucleus*integral component of membrane*cytoplasm*nucleus*positive regulation of transcription from RNA polymerase II promoter*perinuclear region of cytoplasm*negative regulation of transcription from RNA polymerase II promoter*perinuclear region of cytoplasm*negative regulation of transcription from RNA polymerase II promoter*positive regulation of transcription from RNA polymerase II promoter*cytoplasm*nucleus*integral component of membrane*perinuclear region of cytoplasm*negative regulation of transcription from RNA polymerase II promoter*positive regulation of transcription from RNA polymerase II promoter*cytoplasm*nucleus*integral component of membrane	Cytoplasm situated near, or occurring around, the nucleus. [GOC:jid]*Any process that stops, prevents, or reduces the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]*Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"*All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]"*A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent. [GOC:go_curators]"*The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators]"*All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]"*A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent. [GOC:go_curators]"*Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"*Cytoplasm situated near, or occurring around, the nucleus. [GOC:jid]"*Any process that stops, prevents, or reduces the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"*Cytoplasm situated near, or occurring around, the nucleus. [GOC:jid]"*Any process that stops, prevents, or reduces the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"*Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"*All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]"*A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent. [GOC:go_curators]"*The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators]"*Cytoplasm situated near, or occurring around, the nucleus. [GOC:jid]"*Any process that stops, prevents, or reduces the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"*Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"*All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]"*A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent. [GOC:go_curators]"*The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators]"	ISS*ISS*ISS*ISS*ISS*IEA*IEA*IEA*IEA*IEA*IEA*ISS*ISS*ISS*ISS*ISS*IEA*ISS*ISS*ISS*ISS*ISS*IEA	cellular_component*biological_process*biological_process*cellular_component*cellular_component*cellular_component*cellular_component*cellular_component*biological_process*cellular_component*biological_process*cellular_component*biological_process*biological_process*cellular_component*cellular_component*cellular_component*cellular_component*biological_process*biological_process*cellular_component*cellular_component*cellular_component	**********************	**********************	Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1*Q9UJG1MOSPD1		PF00635*PF00635*PF00635*PF00635*PF00635*PF00635*PF00635*PF00635*PF00635	17*17*17*17*17*17*17*17*17	113*113*113*113*113*113*113*113*113	ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475	MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1	IPR000535*IPR000535*IPR008962*IPR000535*IPR000535*IPR008962*IPR000535*IPR000535*IPR008962	MSP_dom*MSP_dom*PapD-like*MSP_dom*MSP_dom*PapD-like*MSP_dom*MSP_dom*PapD-like	Major sperm protein (MSP) domain*Major sperm protein (MSP) domain*PapD-like*Major sperm protein (MSP) domain*Major sperm protein (MSP) domain*PapD-like*Major sperm protein (MSP) domain*Major sperm protein (MSP) domain*PapD-like	ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475*ENSFM00500000271475	MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1*MOTILE SPERM DOMAIN CONTAINING 1	IPR000535*IPR000535*IPR008962*IPR000535*IPR000535*IPR008962*IPR000535*IPR000535*IPR008962	MSP_dom*MSP_dom*PapD-like*MSP_dom*MSP_dom*PapD-like*MSP_dom*MSP_dom*PapD-like	Major sperm protein (MSP) domain*Major sperm protein (MSP) domain*PapD-like*Major sperm protein (MSP) domain*Major sperm protein (MSP) domain*PapD-like*Major sperm protein (MSP) domain*Major sperm protein (MSP) domain*PapD-like	

ENSG00000134590	ENST00000257013*ENST00000495563*ENST00000464369	ENSP00000257013**	family with sequence similarity 127, member A [Source:HGNC Symbol;Acc:HGNC:2569]	135032366	135033546	135032366*135032382*135032382	135033546*135033400*135033546	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IPI	molecular_function			A6ZKI3FAM127A					ENSFM00500000276328	MAMMALIAN RETROTRANSPOSON DERIVED				ENSFM00500000276328	MAMMALIAN RETROTRANSPOSON DERIVED				

ENSG00000165359	ENST00000370752*ENST00000481908*ENST00000493637*ENST00000494957*ENST00000481429	ENSP00000359788****	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B [Source:HGNC Symbol;Acc:HGNC:27334]	135520659	135582510	135520659*135520659*135520993*135579885*135579937	135582509*135582509*135582509*135582510*135582502								Q5JSJ4DDX26B		PF13519*PF13519*PF13519*PF13519*PF15300*PF15300*PF15300*PF15300	4*4*4*4*776*776*776*776	220*220*220*220*838*838*838*838	ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970	INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6	IPR002035*IPR002035*IPR002035*IPR029307*IPR002035*IPR002035*IPR002035*IPR029307	VWF_A*VWF_A*VWF_A*INT_SG_DDX_CT_C*VWF_A*VWF_A*VWF_A*INT_SG_DDX_CT_C	von Willebrand factor, type A*von Willebrand factor, type A*von Willebrand factor, type A"*INTS6/SAGE1/DDX26B/CT45, C-terminal"*von Willebrand factor, type A"*von Willebrand factor, type A"*von Willebrand factor, type A"*INTS6/SAGE1/DDX26B/CT45, C-terminal"	ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970*ENSFM00250000001970	INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6*INTEGRATOR COMPLEX SUBUNIT 6 INT6	IPR002035*IPR002035*IPR002035*IPR029307*IPR002035*IPR002035*IPR002035*IPR029307	VWF_A*VWF_A*VWF_A*INT_SG_DDX_CT_C*VWF_A*VWF_A*VWF_A*INT_SG_DDX_CT_C	von Willebrand factor, type A*von Willebrand factor, type A"*von Willebrand factor, type A"*INTS6/SAGE1/DDX26B/CT45, C-terminal"*von Willebrand factor, type A"*von Willebrand factor, type A"*von Willebrand factor, type A"*INTS6/SAGE1/DDX26B/CT45, C-terminal"	

ENSG00000169551	ENST00000276241*ENST00000344129	ENSP00000276241*ENSP00000343893	cancer/testis antigen 55 [Source:HGNC Symbol;Acc:HGNC:26047]	135156536	135171398	135156536*135156540	135171398*135171398	GO:0005515*GO:0005515	protein binding*protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]*Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IPI*IPI	molecular_function*molecular_function	*	*	Q8WUE5*Q8WUE5CT55		PF14444*PF14444*PF14444*PF14444	40*40*40*40	78*78*78*78	ENSFM00250000001745*ENSFM00250000001745*ENSFM00250000001745*ENSFM00250000001745	HELICASE EC_3.6.4.13 MOLONEY LEUKEMIA VIRUS 10*HELICASE EC_3.6.4.13 MOLONEY LEUKEMIA VIRUS 10*HELICASE EC_3.6.4.13 MOLONEY LEUKEMIA VIRUS 10*HELICASE EC_3.6.4.13 MOLONEY LEUKEMIA VIRUS 10	IPR012340*IPR025223*IPR012340*IPR025223	NA-bd_OB-fold*S1-like_RNA-bd_dom*NA-bd_OB-fold*S1-like_RNA-bd_dom	Nucleic acid-binding, OB-fold*S1-like RNA binding domain*Nucleic acid-binding, OB-fold*S1-like RNA binding domain	ENSFM00250000001745*ENSFM00250000001745*ENSFM00250000001745*ENSFM00250000001745	HELICASE EC_3.6.4.13 MOLONEY LEUKEMIA VIRUS 10*HELICASE EC_3.6.4.13 MOLONEY LEUKEMIA VIRUS 10*HELICASE EC_3.6.4.13 MOLONEY LEUKEMIA VIRUS 10*HELICASE EC_3.6.4.13 MOLONEY LEUKEMIA VIRUS 10	IPR012340*IPR025223*IPR012340*IPR025223	NA-bd_OB-fold*S1-like_RNA-bd_dom*NA-bd_OB-fold*S1-like_RNA-bd_dom	Nucleic acid-binding, OB-fold*S1-like RNA binding domain*Nucleic acid-binding, OB-fold"*S1-like RNA binding domain	

